birdnet_scientific,birdnet_common,likelihood_lower_murray,ioc_scientific,ioc_rank,ioc_species,ioc_known_synonyms,ioc_map_method
Anhinga novaehollandiae,Australasian Darter,Likely (recorded),Anhinga novaehollandiae,species,Anhinga novaehollandiae,,identity
Tachybaptus novaehollandiae,Australasian Grebe,Likely (recorded),Tachybaptus novaehollandiae,species,Tachybaptus novaehollandiae,,identity
Porphyrio melanotus,Australasian Swamphen,Likely (recorded),Porphyrio melanotus,species,Porphyrio melanotus,,identity
Gymnorhina tibicen,Australian Magpie,Likely (recorded),Gymnorhina tibicen,species,Gymnorhina tibicen,,identity
Pelecanus conspicillatus,Australian Pelican,Likely (recorded),Pelecanus conspicillatus,species,Pelecanus conspicillatus,,identity
Acrocephalus australis,Australian Reed Warbler,Very likely,Acrocephalus australis,species,Acrocephalus australis,,identity
Tadorna tadornoides,Australian Shelduck,Likely (recorded),Tadorna tadornoides,species,Tadorna tadornoides,,identity
Ixobrychus dubius,Black-backed Bittern,Likely (recorded),Ixobrychus dubius,species,Ixobrychus dubius,,identity
Coracina novaehollandiae,Black-faced Cuckooshrike,Likely (recorded),Coracina novaehollandiae,species,Coracina novaehollandiae,,identity
Artamus cinereus,Black-faced Woodswallow,Likely (recorded),Artamus cinereus,species,Artamus cinereus,,identity
Elseyornis melanops,Black-fronted Dotterel,Likely (recorded),Elseyornis melanops,species,Elseyornis melanops,,identity
Tribonyx ventralis,Black-tailed Nativehen,Likely (recorded),Tribonyx ventralis,species,Tribonyx ventralis,,identity
Falco berigora,Brown Falcon,Likely (recorded),Falco berigora,species,Falco berigora,,identity
Accipiter fasciatus,Brown Goshawk,Likely (recorded),Accipiter fasciatus,species,Accipiter fasciatus,,identity
Synoicus ypsilophorus,Brown Quail,Likely (recorded),Synoicus ypsilophorus,species,Synoicus ypsilophorus,,identity
Cincloramphus cruralis,Brown Songlark,Likely (recorded),Cincloramphus cruralis,species,Cincloramphus cruralis,,identity
Cacomantis variolosus,Brush Cuckoo,Likely (recorded),Cacomantis variolosus,species,Cacomantis variolosus,,identity
Melopsittacus undulatus,Budgerigar,Likely (recorded),Melopsittacus undulatus,species,Melopsittacus undulatus,,identity
Gallirallus philippensis,Buff-banded Rail,Likely (recorded),Gallirallus philippensis,species,Gallirallus philippensis,,identity
Anas castanea,Chestnut Teal,Likely (recorded),Anas castanea,species,Anas castanea,,identity
Accipiter cirrocephalus,Collared Sparrowhawk,Likely (recorded),Accipiter cirrocephalus,species,Accipiter cirrocephalus,,identity
Ocyphaps lophotes,Crested Pigeon,Likely (recorded),Ocyphaps lophotes,species,Ocyphaps lophotes,,identity
Eurystomus orientalis,Dollarbird,Likely (recorded),Eurystomus orientalis,species,Eurystomus orientalis,,identity
Charadrius bicinctus,Double-banded Plover,Likely (recorded),Charadrius bicinctus,species,Charadrius bicinctus,,identity
Gallinula tenebrosa,Dusky Moorhen,Likely (recorded),Gallinula tenebrosa,species,Gallinula tenebrosa,,identity
Artamus cyanopterus,Dusky Woodswallow,Likely (recorded),Artamus cyanopterus,species,Artamus cyanopterus,,identity
Fulica atra,Eurasian Coot,Likely (recorded),Fulica atra,species,Fulica atra,,identity
Alauda arvensis,Eurasian Skylark,Likely (recorded),Alauda arvensis,species,Alauda arvensis,,identity
Carduelis carduelis,European Goldfinch,Likely (recorded),Carduelis carduelis,species,Carduelis carduelis,,identity
Chloris chloris,European Greenfinch,Likely (recorded),Chloris chloris,species,Chloris chloris,,identity
Petrochelidon ariel,Fairy Martin,Likely (recorded),Petrochelidon ariel,species,Petrochelidon ariel,,identity
Eolophus roseicapilla,Galah,Likely (recorded),Eolophus roseicapilla,species,Eolophus roseicapilla,Cacatua roseicapilla; Eolophus roseicapillus; Kakatoe roseicapilla,identity
Cisticola exilis,Golden-headed Cisticola,Very likely,Cisticola exilis,species,Cisticola exilis,,identity
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Likely (recorded),Chrysococcyx basalis,species,Chrysococcyx basalis,,identity
Gallinago hardwickii,Latham's Snipe,Possible (uncommon),Gallinago hardwickii,species,Gallinago hardwickii,,identity
Lewinia pectoralis,Lewin's Rail,Likely (recorded),Lewinia pectoralis,species,Lewinia pectoralis,,identity
Cacatua sanguinea,Little Corella,Likely (recorded),Cacatua sanguinea,species,Cacatua sanguinea,,identity
Numenius minutus,Little Curlew,Likely (recorded),Numenius minutus,species,Numenius minutus,,identity
Poodytes gramineus,Little Grassbird,Likely (recorded),Poodytes gramineus,species,Poodytes gramineus,,identity
Corvus mellori,Little Raven,Likely (recorded),Corvus mellori,species,Corvus mellori,,identity
Anseranas semipalmata,Magpie Goose,Likely (recorded),Anseranas semipalmata,species,Anseranas semipalmata,,identity
Grallina cyanoleuca,Magpie-lark,Likely (recorded),Grallina cyanoleuca,species,Grallina cyanoleuca,,identity
Chenonetta jubata,Maned Duck,Likely (recorded),Chenonetta jubata,species,Chenonetta jubata,,identity
Vanellus miles,Masked Lapwing,Very likely,Vanellus miles,species,Vanellus miles,,identity
Phylidonyris novaehollandiae,New Holland Honeyeater,Likely (recorded),Phylidonyris novaehollandiae,species,Phylidonyris novaehollandiae,,identity
Manorina melanocephala,Noisy Miner,Likely (recorded),Manorina melanocephala,species,Manorina melanocephala,,identity
Glareola maldivarum,Oriental Pratincole,Likely (recorded),Glareola maldivarum,species,Glareola maldivarum,,identity
Anas superciliosa,Pacific Black Duck,Very likely,Anas superciliosa,species,Anas superciliosa,,identity
Apus pacificus,Pacific Swift,Likely (recorded),Apus pacificus,species,Apus pacificus,,identity
Cacomantis pallidus,Pallid Cuckoo,Likely (recorded),Cacomantis pallidus,species,Cacomantis pallidus,,identity
Geopelia placida,Peaceful Dove,Likely (recorded),Geopelia placida,species,Geopelia placida,,identity
Cracticus nigrogularis,Pied Butcherbird,Likely (recorded),Cracticus nigrogularis,species,Cracticus nigrogularis,,identity
Himantopus leucocephalus,Pied Stilt,Likely (recorded),Himantopus leucocephalus,species,Himantopus leucocephalus,,identity
Malacorhynchus membranaceus,Pink-eared Duck,Likely (recorded),Malacorhynchus membranaceus,species,Malacorhynchus membranaceus,,identity
Malurus assimilis,Purple-backed Fairywren,Likely (recorded),Malurus assimilis,species,Malurus assimilis,,identity
Merops ornatus,Rainbow Bee-eater,Likely (recorded),Merops ornatus,species,Merops ornatus,,identity
Anthochaera carunculata,Red Wattlebird,Likely (recorded),Anthochaera carunculata,species,Anthochaera carunculata,,identity
Petroica goodenovii,Red-capped Robin,Likely (recorded),Petroica goodenovii,species,Petroica goodenovii,,identity
Cincloramphus mathewsi,Rufous Songlark,Likely (recorded),Cincloramphus mathewsi,species,Cincloramphus mathewsi,,identity
Todiramphus sanctus,Sacred Kingfisher,Likely (recorded),Todiramphus sanctus,species,Todiramphus sanctus,,identity
Chroicocephalus novaehollandiae,Silver Gull,Likely (recorded),Chroicocephalus novaehollandiae,species,Chroicocephalus novaehollandiae,,identity
Zosterops lateralis,Silvereye,Likely (recorded),Zosterops lateralis,species,Zosterops lateralis,,identity
Gavicalis virescens,Singing Honeyeater,Likely (recorded),Gavicalis virescens,species,Gavicalis virescens,,identity
Aphelocephala leucopsis,Southern Whiteface,Likely (recorded),Aphelocephala leucopsis,species,Aphelocephala leucopsis,,identity
Zapornia tabuensis,Spotless Crake,Possible (uncommon),Zapornia tabuensis,species,Zapornia tabuensis,,identity
Streptopelia chinensis,Spotted Dove,Likely (recorded),Streptopelia chinensis,species,Streptopelia chinensis,,identity
Coturnix pectoralis,Stubble Quail,Likely (recorded),Coturnix pectoralis,species,Coturnix pectoralis,,identity
Malurus cyaneus,Superb Fairywren,Likely (recorded),Malurus cyaneus,species,Malurus cyaneus,,identity
Circus approximans,Swamp Harrier,Likely (recorded),Circus approximans,species,Circus approximans,,identity
Petrochelidon nigricans,Tree Martin,Likely (recorded),Petrochelidon nigricans,species,Petrochelidon nigricans,,identity
Hirundo neoxena,Welcome Swallow,Likely (recorded),Hirundo neoxena,species,Hirundo neoxena,,identity
Haliastur sphenurus,Whistling Kite,Likely (recorded),Haliastur sphenurus,species,Haliastur sphenurus,,identity
Eudocimus albus,White Ibis,Likely (recorded),Eudocimus albus,species,Eudocimus albus,,identity
Haliaeetus leucogaster,White-bellied Sea-Eagle,Likely (recorded),Haliaeetus leucogaster,species,Haliaeetus leucogaster,,identity
Artamus superciliosus,White-browed Woodswallow,Likely (recorded),Artamus superciliosus,species,Artamus superciliosus,,identity
Egretta novaehollandiae,White-faced Heron,Likely (recorded),Egretta novaehollandiae,species,Egretta novaehollandiae,,identity
Ptilotula penicillata,White-plumed Honeyeater,Likely (recorded),Ptilotula penicillata,species,Ptilotula penicillata,,identity
Lalage tricolor,White-winged Triller,Likely (recorded),Lalage tricolor,species,Lalage tricolor,,identity
Rhipidura leucophrys,Willie-wagtail,Likely (recorded),Rhipidura leucophrys,species,Rhipidura leucophrys,,identity
Acanthiza nana,Yellow Thornbill,Likely (recorded),Acanthiza nana,species,Acanthiza nana,,identity
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Likely (recorded),Acanthiza chrysorrhoa,species,Acanthiza chrysorrhoa,,identity
